0	1	1
1	2	2
2	3	3
3	9	4
3	4	5
4	9	6
4	5	7
5	18	8
1	56	9
1	37	10
56	37	11
56	57	12
37	57	13
37	38	14
57	45	15
45	38	16
38	39	17
47	39	18
45	46	19
46	47	20
38	48	21
48	53	22
48	50	23
50	51	24
49	40	25
40	41	26
55	54	27
41	54	28
54	42	29
52	42	30
17	6	31
6	7	32
7	8	33
8	0	34
42	43	35
2	19	36
19	21	37
21	4	38
21	26	39
26	36	40
26	27	41
28	29	42
29	32	43
32	33	44
33	15	45
15	43	46
21	23	47
23	22	48
23	16	49
16	27	50
20	11	51
11	16	52
20	16	53
11	35	54
24	22	55
16	24	56
24	25	57
35	31	58
31	30	59
25	30	60
31	34	61
22	30	62
12	13	63
13	14	64
14	15	65
43	44	66
44	0	67
58	59	68
59	60	69
60	0	70
36	35	71
19	20	72
10	17	73
47	40	74
39	49	75
48	55	76
5	6	77
5	10	78
26	29	79
27	28	80
30	33	81
56	59	82
57	58	83
46	41	84
46	41	85
53	40	86
51	52	87
9	7	88
16	10	89
36	29	90
35	28	91
34	32	92
22	32	93
34	33	94
30	33	95
30	13	96
22	13	97
19	6	98
25	12	99
24	14	100
57	58	101
0	8	102
0	60	103
48	49	104
53	41	105
50	55	106
51	42	107
51	52	108
18	17	109
23	17	110
36	29	111
35	29	112
20	12	113
22	13	114
22	12	115
24	15	116
0	44	117
